number of all IPs is 10000
number of all IPs that are uniq is 1753
      9 times (99.33.244.41) repeated from list
      9 times (98.122.171.175) repeated from list
      9 times (97.82.80.65) repeated from list
      9 times (94.7.215.43) repeated from list
      9 times (91.236.75.25) repeated from list
      9 times (86.130.160.107) repeated from list
      9 times (85.43.182.12) repeated from list
      9 times (85.168.225.197) repeated from list
      9 times (84.137.208.44) repeated from list
      9 times (80.32.77.152) repeated from list
      9 times (80.160.68.134) repeated from list
      9 times (78.171.202.100) repeated from list
      9 times (74.125.176.146) repeated from list
      9 times (74.125.176.144) repeated from list
      9 times (69.167.130.5) repeated from list
      9 times (67.170.98.63) repeated from list
      9 times (31.208.44.206) repeated from list
      9 times (216.14.102.16) repeated from list
      9 times (208.43.251.180) repeated from list
      9 times (207.241.237.221) repeated from list
      9 times (199.16.156.125) repeated from list
      9 times (173.11.136.157) repeated from list
      9 times (143.233.204.28) repeated from list
      9 times (139.184.30.132) repeated from list
      9 times (130.243.172.179) repeated from list
     99 times (68.180.224.225) repeated from list
      8 times (89.68.134.81) repeated from list
      8 times (81.187.167.236) repeated from list
      8 times (74.125.176.151) repeated from list
      8 times (64.131.102.243) repeated from list
      8 times (63.140.98.80) repeated from list
      8 times (50.158.157.89) repeated from list
      8 times (24.237.38.218) repeated from list
      8 times (216.14.198.50) repeated from list
      8 times (212.39.97.114) repeated from list
      8 times (208.43.243.244) repeated from list
      8 times (199.16.156.126) repeated from list
      8 times (193.83.204.66) repeated from list
      8 times (193.50.193.83) repeated from list
      8 times (192.44.32.8) repeated from list
      8 times (190.153.25.242) repeated from list
      8 times (188.9.138.189) repeated from list
      8 times (188.192.27.241) repeated from list
      8 times (187.45.193.158) repeated from list
      8 times (184.162.26.147) repeated from list
      8 times (177.106.12.201) repeated from list
      8 times (170.148.69.141) repeated from list
      8 times (155.140.133.248) repeated from list
      8 times (134.76.249.10) repeated from list
      8 times (128.214.173.46) repeated from list
      8 times (110.170.125.5) repeated from list
      8 times (110.159.23.90) repeated from list
      8 times (109.74.151.149) repeated from list
      8 times (106.187.34.32) repeated from list
     84 times (100.43.83.137) repeated from list
     83 times (208.115.111.72) repeated from list
     82 times (198.46.149.143) repeated from list
      7 times (96.49.214.84) repeated from list
      7 times (94.7.95.97) repeated from list
      7 times (94.253.195.219) repeated from list
      7 times (94.228.34.233) repeated from list
      7 times (92.234.93.242) repeated from list
      7 times (91.204.25.44) repeated from list
      7 times (91.114.206.13) repeated from list
      7 times (89.238.233.38) repeated from list
      7 times (89.216.30.194) repeated from list
      7 times (89.191.52.88) repeated from list
      7 times (88.184.51.134) repeated from list
      7 times (85.89.160.218) repeated from list
      7 times (84.75.200.115) repeated from list
      7 times (84.52.150.17) repeated from list
      7 times (83.253.123.163) repeated from list
      7 times (83.221.67.237) repeated from list
      7 times (82.181.180.138) repeated from list
      7 times (82.135.32.98) repeated from list
      7 times (81.34.53.43) repeated from list
      7 times (80.118.116.26) repeated from list
      7 times (79.176.36.151) repeated from list
      7 times (78.49.133.207) repeated from list
      7 times (78.193.126.4) repeated from list
      7 times (76.2.185.161) repeated from list
      7 times (76.176.53.173) repeated from list
      7 times (75.67.42.229) repeated from list
      7 times (72.76.128.176) repeated from list
      7 times (68.180.224.235) repeated from list
      7 times (67.244.81.209) repeated from list
      7 times (65.55.213.79) repeated from list
      7 times (62.77.171.249) repeated from list
      7 times (62.134.44.20) repeated from list
      7 times (50.8.159.176) repeated from list
      7 times (50.131.220.143) repeated from list
      7 times (46.5.254.123) repeated from list
      7 times (27.251.237.154) repeated from list
      7 times (217.17.193.66) repeated from list
      7 times (217.116.157.26) repeated from list
      7 times (216.143.11.118) repeated from list
      7 times (216.109.99.4) repeated from list
      7 times (213.61.156.100) repeated from list
      7 times (213.160.109.10) repeated from list
      7 times (213.10.136.118) repeated from list
      7 times (212.84.56.58) repeated from list
      7 times (212.33.34.196) repeated from list
      7 times (209.141.128.208) repeated from list
      7 times (208.43.255.28) repeated from list
      7 times (208.43.255.27) repeated from list
      7 times (206.47.94.142) repeated from list
      7 times (203.219.136.224) repeated from list
      7 times (202.86.115.186) repeated from list
      7 times (202.59.2.2) repeated from list
      7 times (199.16.156.124) repeated from list
      7 times (195.228.139.91) repeated from list
      7 times (195.194.187.106) repeated from list
      7 times (195.14.72.29) repeated from list
      7 times (195.14.103.53) repeated from list
      7 times (194.250.79.71) repeated from list
      7 times (194.249.247.164) repeated from list
      7 times (194.149.247.24) repeated from list
      7 times (193.24.88.211) repeated from list
      7 times (193.104.184.225) repeated from list
      7 times (189.170.95.135) repeated from list
      7 times (185.2.138.125) repeated from list
      7 times (183.37.131.40) repeated from list
      7 times (176.226.17.33) repeated from list
      7 times (151.225.221.231) repeated from list
      7 times (138.96.204.237) repeated from list
      7 times (132.229.223.2) repeated from list
      7 times (130.226.230.7) repeated from list
      7 times (129.70.212.93) repeated from list
      7 times (128.61.92.96) repeated from list
      7 times (128.61.85.15) repeated from list
      7 times (128.147.28.1) repeated from list
      7 times (122.146.177.66) repeated from list
      7 times (12.110.81.190) repeated from list
      7 times (119.36.179.179) repeated from list
      7 times (118.97.174.156) repeated from list
      7 times (118.169.39.21) repeated from list
      7 times (117.28.234.67) repeated from list
      7 times (116.75.148.149) repeated from list
      7 times (115.77.7.145) repeated from list
      7 times (114.141.164.18) repeated from list
      7 times (111.240.183.248) repeated from list
      7 times (109.74.154.79) repeated from list
      7 times (109.167.131.110) repeated from list
      7 times (108.91.82.251) repeated from list
      7 times (107.170.40.204) repeated from list
     74 times (208.115.113.88) repeated from list
      6 times (99.6.61.4) repeated from list
      6 times (99.171.108.193) repeated from list
      6 times (99.158.0.150) repeated from list
      6 times (98.227.31.237) repeated from list
      6 times (98.210.187.48) repeated from list
      6 times (98.193.68.66) repeated from list
      6 times (97.116.185.190) repeated from list
      6 times (96.63.29.108) repeated from list
      6 times (96.36.44.80) repeated from list
      6 times (96.254.233.150) repeated from list
      6 times (95.97.244.106) repeated from list
      6 times (95.87.197.134) repeated from list
      6 times (95.82.59.254) repeated from list
      6 times (95.172.74.38) repeated from list
      6 times (95.148.254.71) repeated from list
      6 times (94.23.164.135) repeated from list
      6 times (94.222.112.110) repeated from list
      6 times (93.80.29.12) repeated from list
      6 times (93.210.154.199) repeated from list
      6 times (93.191.160.193) repeated from list
      6 times (93.139.195.61) repeated from list
      6 times (93.114.45.13) repeated from list
      6 times (92.50.146.166) repeated from list
      6 times (92.236.181.94) repeated from list
      6 times (92.230.229.41) repeated from list
      6 times (92.163.85.51) repeated from list
      6 times (92.115.179.247) repeated from list
      6 times (91.99.29.38) repeated from list
      6 times (91.68.55.56) repeated from list
      6 times (91.231.179.253) repeated from list
      6 times (91.220.39.15) repeated from list
      6 times (91.213.10.2) repeated from list
      6 times (91.183.139.98) repeated from list
      6 times (91.180.146.16) repeated from list
      6 times (91.179.36.136) repeated from list
      6 times (91.177.205.119) repeated from list
      6 times (91.151.182.109) repeated from list
      6 times (90.220.199.149) repeated from list
      6 times (89.250.16.2) repeated from list
      6 times (89.238.251.138) repeated from list
      6 times (89.212.62.88) repeated from list
      6 times (89.156.153.83) repeated from list
      6 times (89.121.200.106) repeated from list
      6 times (88.218.141.221) repeated from list
