number of all IPs is 27057
number of all IPs that are uniq is 576
      9 times (66.249.64.39) repeated from list
      9 times (42.236.10.114) repeated from list
      9 times (40.94.96.50) repeated from list
      9 times (180.163.220.66) repeated from list
      9 times (180.163.220.3) repeated from list
    946 times (45.144.0.179) repeated from list
    934 times (176.222.58.254) repeated from list
      8 times (45.55.58.166) repeated from list
      8 times (42.236.10.117) repeated from list
      8 times (159.69.67.237) repeated from list
      8 times (157.55.39.19) repeated from list
      8 times (103.121.60.69) repeated from list
     89 times (84.142.204.244) repeated from list
    890 times (45.132.207.154) repeated from list
    888 times (45.153.227.55) repeated from list
    880 times (45.138.4.22) repeated from list
    876 times (45.153.227.31) repeated from list
    872 times (45.138.4.35) repeated from list
    868 times (45.132.51.62) repeated from list
    860 times (176.222.58.90) repeated from list
     85 times (80.248.225.154) repeated from list
    856 times (45.138.145.131) repeated from list
    850 times (45.132.207.221) repeated from list
     84 times (213.162.73.51) repeated from list
    848 times (45.138.145.106) repeated from list
    846 times (45.132.51.36) repeated from list
    826 times (45.144.0.98) repeated from list
      7 times (85.198.144.34) repeated from list
      7 times (66.249.64.43) repeated from list
      7 times (194.186.207.248) repeated from list
      7 times (17.58.97.160) repeated from list
      7 times (167.114.175.39) repeated from list
     78 times (201.137.179.24) repeated from list
     76 times (91.193.4.199) repeated from list
     73 times (83.227.29.211) repeated from list
    736 times (87.247.143.24) repeated from list
      6 times (5.18.186.167) repeated from list
      6 times (40.94.96.39) repeated from list
      6 times (40.94.96.10) repeated from list
      6 times (173.231.59.218) repeated from list
      6 times (168.91.83.222) repeated from list
    695 times (45.145.161.6) repeated from list
    680 times (45.145.161.12) repeated from list
    676 times (194.156.95.52) repeated from list
    662 times (194.156.95.20) repeated from list
     64 times (5.188.62.140) repeated from list
    640 times (87.247.143.30) repeated from list
      5 times (85.191.186.133) repeated from list
      5 times (66.249.70.112) repeated from list
      5 times (66.249.70.110) repeated from list
      5 times (54.36.148.1) repeated from list
      5 times (45.55.195.141) repeated from list
      5 times (45.132.242.99) repeated from list
      5 times (34.77.35.166) repeated from list
      5 times (200.117.136.188) repeated from list
      5 times (191.102.156.173) repeated from list
      5 times (180.163.220.5) repeated from list
      5 times (106.208.18.158) repeated from list
      5 times (105.159.77.140) repeated from list
      5 times (103.245.193.10) repeated from list
     51 times (45.242.86.62) repeated from list
      4 times (90.127.201.128) repeated from list
      4 times (87.115.231.176) repeated from list
      4 times (5.253.19.140) repeated from list
      4 times (50.31.8.148) repeated from list
      4 times (50.31.8.13) repeated from list
      4 times (50.31.8.137) repeated from list
      4 times (46.185.114.98) repeated from list
      4 times (46.150.240.108) repeated from list
      4 times (40.94.96.4) repeated from list
      4 times (40.77.190.15) repeated from list
      4 times (24.193.95.168) repeated from list
      4 times (23.90.31.3) repeated from list
      4 times (23.82.81.78) repeated from list
      4 times (23.82.81.185) repeated from list
      4 times (23.82.80.234) repeated from list
      4 times (23.229.14.227) repeated from list
      4 times (207.46.13.80) repeated from list
      4 times (207.230.100.5) repeated from list
      4 times (207.230.100.110) repeated from list
      4 times (197.20.116.211) repeated from list
      4 times (197.16.168.66) repeated from list
      4 times (192.126.162.243) repeated from list
      4 times (192.126.162.16) repeated from list
      4 times (187.76.237.145) repeated from list
      4 times (176.104.126.75) repeated from list
      4 times (173.44.222.212) repeated from list
      4 times (173.44.222.118) repeated from list
      4 times (173.44.167.243) repeated from list
      4 times (173.234.225.46) repeated from list
      4 times (172.241.243.212) repeated from list
      4 times (172.241.242.98) repeated from list
      4 times (168.91.83.223) repeated from list
      4 times (168.91.82.32) repeated from list
      4 times (168.91.81.82) repeated from list
      4 times (168.91.81.164) repeated from list
      4 times (168.91.80.127) repeated from list
      4 times (168.91.38.170) repeated from list
      4 times (162.210.196.130) repeated from list
      4 times (162.210.196.129) repeated from list
      4 times (157.48.208.79) repeated from list
      4 times (108.59.8.80) repeated from list
      4 times (107.175.38.13) repeated from list
      4 times (104.227.191.170) repeated from list
     48 times (137.59.253.53) repeated from list
     45 times (213.171.211.253) repeated from list
     44 times (62.138.3.52) repeated from list
     44 times (46.125.249.79) repeated from list
     42 times (95.52.125.163) repeated from list
     41 times (194.54.183.74) repeated from list
      3 times (92.130.207.142) repeated from list
      3 times (88.149.154.32) repeated from list
      3 times (86.31.119.25) repeated from list
      3 times (66.249.75.229) repeated from list
      3 times (62.217.185.133) repeated from list
      3 times (5.248.238.224) repeated from list
      3 times (5.16.122.106) repeated from list
      3 times (45.128.133.234) repeated from list
      3 times (43.231.29.144) repeated from list
      3 times (40.94.96.48) repeated from list
      3 times (40.94.96.1) repeated from list
      3 times (23.90.31.58) repeated from list
      3 times (23.90.30.239) repeated from list
      3 times (23.90.30.144) repeated from list
      3 times (216.120.224.208) repeated from list
      3 times (193.147.162.141) repeated from list
      3 times (191.102.167.138) repeated from list
      3 times (185.85.190.132) repeated from list
      3 times (182.239.117.249) repeated from list
      3 times (179.246.209.61) repeated from list
      3 times (179.155.104.219) repeated from list
      3 times (176.234.11.88) repeated from list
      3 times (17.58.101.191) repeated from list
      3 times (173.44.165.179) repeated from list
      3 times (173.44.165.156) repeated from list
      3 times (172.245.64.249) repeated from list
      3 times (165.51.200.210) repeated from list
      3 times (157.38.37.80) repeated from list
      3 times (13.66.139.64) repeated from list
      3 times (103.80.199.180) repeated from list
      3 times (101.68.81.230) repeated from list
     39 times (84.22.28.166) repeated from list
     39 times (190.155.2.122) repeated from list
     38 times (43.243.82.221) repeated from list
     38 times (193.106.30.100) repeated from list
     36 times (46.5.72.251) repeated from list
     36 times (34.201.67.118) repeated from list
     35 times (167.71.100.247) repeated from list
     34 times (84.57.116.117) repeated from list
     33 times (45.141.156.57) repeated from list
     33 times (130.204.55.97) repeated from list
    330 times (45.135.34.192) repeated from list
     32 times (84.136.57.209) repeated from list
     32 times (46.75.75.131) repeated from list
    324 times (81.16.140.109) repeated from list
    322 times (81.16.140.72) repeated from list
    322 times (45.88.82.121) repeated from list
     31 times (91.115.198.2) repeated from list
     31 times (51.77.128.212) repeated from list
     31 times (212.40.1.5) repeated from list
     31 times (198.98.57.234) repeated from list
    318 times (45.135.34.239) repeated from list
     30 times (185.188.136.33) repeated from list
    304 times (45.133.219.22) repeated from list
    302 times (45.138.6.188) repeated from list
    302 times (194.60.76.216) repeated from list
      2 times (99.67.58.183) repeated from list
      2 times (95.111.247.252) repeated from list
      2 times (94.54.244.13) repeated from list
      2 times (93.41.35.75) repeated from list
      2 times (93.35.225.23) repeated from list
      2 times (93.175.28.2) repeated from list
      2 times (91.241.19.182) repeated from list
      2 times (88.107.190.117) repeated from list
      2 times (87.255.77.204) repeated from list
      2 times (86.173.63.72) repeated from list
      2 times (86.149.157.137) repeated from list
      2 times (86.100.54.250) repeated from list
      2 times (85.125.194.182) repeated from list
      2 times (84.229.183.233) repeated from list
      2 times (83.136.32.140) repeated from list
      2 times (75.60.242.80) repeated from list
      2 times (73.166.162.225) repeated from list
      2 times (73.15.241.42) repeated from list
      2 times (69.4.94.111) repeated from list
      2 times (66.249.75.225) repeated from list
      2 times (66.249.70.108) repeated from list
      2 times (64.246.165.50) repeated from list
      2 times (62.157.70.48) repeated from list
      2 times (5.9.110.153) repeated from list
      2 times (5.45.207.161) repeated from list
      2 times (54.37.163.19) repeated from list
      2 times (54.36.149.45) repeated from list
      2 times (54.36.138.92) repeated from list
      2 times (54.184.200.246) repeated from list
      2 times (5.255.253.153) repeated from list
      2 times (5.189.176.171) repeated from list
      2 times (51.81.71.240) repeated from list
      2 times (50.31.8.146) repeated from list
      2 times (49.207.210.216) repeated from list
      2 times (47.30.166.206) repeated from list
      2 times (46.150.243.34) repeated from list
      2 times (45.82.198.192) repeated from list
      2 times (45.72.67.70) repeated from list
      2 times (45.61.164.249) repeated from list
      2 times (45.61.164.246) repeated from list
      2 times (45.57.220.242) repeated from list
      2 times (45.115.112.214) repeated from list
      2 times (44.234.109.155) repeated from list
      2 times (42.236.10.72) repeated from list
      2 times (42.236.10.113) repeated from list
      2 times (41.62.113.174) repeated from list
      2 times (41.228.120.149) repeated from list
      2 times (40.121.91.147) repeated from list
      2 times (36.83.26.177) repeated from list
      2 times (34.93.192.154) repeated from list
      2 times (34.243.162.182) repeated from list
      2 times (31.28.163.53) repeated from list
      2 times (3.112.251.194) repeated from list
      2 times (27.154.209.39) repeated from list
      2 times (23.95.239.13) repeated from list
      2 times (23.95.235.98) repeated from list
      2 times (23.94.31.250) repeated from list
      2 times (23.90.31.66) repeated from list
      2 times (23.90.31.214) repeated from list
      2 times (23.90.30.53) repeated from list
      2 times (23.90.30.214) repeated from list
      2 times (23.90.30.135) repeated from list
      2 times (23.82.81.63) repeated from list
      2 times (23.82.81.183) repeated from list
      2 times (23.82.80.93) repeated from list
      2 times (23.82.80.42) repeated from list
      2 times (23.236.254.234) repeated from list
      2 times (23.236.232.174) repeated from list
      2 times (23.231.38.218) repeated from list
      2 times (23.231.38.135) repeated from list
      2 times (23.229.75.24) repeated from list
      2 times (213.174.147.83) repeated from list
      2 times (212.112.122.142) repeated from list
      2 times (209.6.125.183) repeated from list
      2 times (207.46.13.173) repeated from list
      2 times (207.230.100.87) repeated from list
      2 times (207.230.100.217) repeated from list
      2 times (206.217.137.206) repeated from list
      2 times (199.21.113.251) repeated from list
      2 times (198.81.129.194) repeated from list
